"type";"minutos";"segudos";"miliegundos";"tempo";"threads";"entrada"
"sys";0;0;24;"0.24";0;"4k-b"
"sys";0;0;16;"0.16";0;"4k-b"
"sys";0;0;20;"0.20";0;"4k-b"
"sys";0;0;28;"0.28";0;"4k-b"
"sys";0;0;20;"0.20";0;"4k-b"
"sys";0;0;28;"0.28";0;"4k-b"
"sys";0;0;24;"0.24";0;"4k-b"
"sys";0;0;24;"0.24";0;"4k-c"
"sys";0;0;24;"0.24";0;"4k-c"
"sys";0;0;20;"0.20";0;"4k-c"
"sys";0;0;20;"0.20";0;"4k-c"
"sys";0;0;24;"0.24";0;"4k-c"
"sys";0;0;28;"0.28";0;"4k-c"
"sys";0;0;20;"0.20";0;"4k-c"
"sys";0;0;24;"0.24";0;"4k-c"
"sys";0;0;24;"0.24";0;"4k-c"
"sys";0;0;24;"0.24";0;"4k-c"
"sys";0;0;24;"0.24";0;"4k-c"
"sys";0;0;24;"0.24";0;"4k-c"
"sys";0;0;20;"0.20";0;"4k-c"
"sys";0;0;28;"0.28";0;"4k-c"
"sys";0;0;16;"0.16";0;"4k-c"
"sys";0;0;20;"0.20";0;"4k-c"
"sys";0;0;20;"0.20";0;"4k-c"
"sys";0;0;20;"0.20";0;"4k-c"
"sys";0;0;24;"0.24";0;"4k-c"
"sys";0;0;16;"0.16";0;"4k-c"
"sys";0;0;84;"0.84";0;"8k-a"
"sys";0;0;80;"0.80";0;"8k-a"
"sys";0;0;76;"0.76";0;"8k-a"
"sys";0;0;80;"0.80";0;"8k-a"
"sys";0;0;72;"0.72";0;"8k-a"
"sys";0;0;84;"0.84";0;"8k-a"
"sys";0;0;72;"0.72";0;"8k-a"
"sys";0;0;76;"0.76";0;"8k-a"
"sys";0;0;72;"0.72";0;"8k-a"
"sys";0;0;80;"0.80";0;"8k-a"
"sys";0;0;76;"0.76";0;"8k-a"
"sys";0;0;72;"0.72";0;"8k-a"
"sys";0;0;76;"0.76";0;"8k-a"
"sys";0;0;76;"0.76";0;"8k-a"
"sys";0;0;76;"0.76";0;"8k-a"
"sys";0;0;72;"0.72";0;"8k-a"
"sys";0;0;108;"0.108";0;"8k-a"
"sys";0;0;72;"0.72";0;"8k-a"
"sys";0;0;76;"0.76";0;"8k-a"
"sys";0;0;76;"0.76";0;"8k-a"
"sys";0;0;92;"0.92";0;"8k-b"
"sys";0;0;76;"0.76";0;"8k-b"
"sys";0;0;76;"0.76";0;"8k-b"
"sys";0;0;80;"0.80";0;"8k-b"
"sys";0;0;76;"0.76";0;"8k-b"
"sys";0;0;72;"0.72";0;"8k-b"
"sys";0;0;80;"0.80";0;"8k-b"
"sys";0;0;72;"0.72";0;"8k-b"
"sys";0;0;80;"0.80";0;"8k-b"
"sys";0;0;76;"0.76";0;"8k-b"
"sys";0;0;72;"0.72";0;"8k-b"
"sys";0;0;76;"0.76";0;"8k-b"
"sys";0;0;76;"0.76";0;"8k-b"
"sys";0;0;76;"0.76";0;"8k-b"
"sys";0;0;72;"0.72";0;"8k-b"
"sys";0;0;100;"0.100";0;"8k-b"
"sys";0;0;72;"0.72";0;"8k-b"
"sys";0;0;80;"0.80";0;"8k-b"
"sys";0;0;72;"0.72";0;"8k-b"
"sys";0;0;72;"0.72";0;"8k-b"
"sys";0;0;168;"0.168";0;"8k-c"
"sys";0;0;76;"0.76";0;"8k-c"
"sys";0;0;72;"0.72";0;"8k-c"
"sys";0;0;76;"0.76";0;"8k-c"
"sys";0;0;76;"0.76";0;"8k-c"
"sys";0;0;72;"0.72";0;"8k-c"
"sys";0;0;68;"0.68";0;"8k-c"
"sys";0;0;76;"0.76";0;"8k-c"
"sys";0;0;72;"0.72";0;"8k-c"
"sys";0;0;76;"0.76";0;"8k-c"
"sys";0;0;80;"0.80";0;"8k-c"
"sys";0;0;84;"0.84";0;"8k-c"
"sys";0;0;72;"0.72";0;"8k-c"
